_id,pub_date,headline,web_url,snippet,section,byline,type_of_material,source
nyt://article/1a2bf51d-ca3a-50a2-b17a-0fc631111cbb,2012-02-17 17:54:32+00:00,Preparing for DDoS Attacks or Just Groundhog Day,https://bits.blogs.nytimes.com/2012/02/17/preparing-for-ddos-attacks-or-just-groundhog-day/,"A number of companies help Web sites fight basic cyber attacks and unexpected traffic, but most are prohibitively expensive. CloudFlare, a two-year-old San Francisco start-up, helps defend Web sites from cyber attacks on the cheap. Two years in, it counts Groundhog.org, Metallica and Stratfor as customers.",Technology,By Nicole Perlroth,News,The New York Times
nyt://article/cb404a07-5753-5f28-83a0-d4f25989538e,2015-09-14 00:57:10+00:00,Baidu and CloudFlare Boost Users Over China’s Great Firewall,https://www.nytimes.com/2015/09/14/business/partnership-boosts-users-over-chinas-great-firewall.html,"The Chinese search giant Baidu and CloudFlare, a start-up based in San Francisco, have joined in an unusual business arrangement to speed Internet traffic into and out of China.",Technology,By Paul Mozur,News,The New York Times
nyt://article/32e94921-1ba6-5f11-81b1-28ecae17c55f,2017-08-11 11:00:15+00:00,Matthew Prince of Cloudflare on the Dangers of Fast Growth,https://www.nytimes.com/2017/08/11/business/corner-office-matthew-prince-cloudflare.html,The chief executive of a cybersecurity firm says that adding more employees too quickly can erode the foundations of company culture.,Business,By Adam Bryant,News,The New York Times
nyt://article/ddcc81da-d52c-57cc-a5a2-2e2c549c333d,2019-07-03 00:42:03+00:00,"A Failure Here, Damaged Fiber There and a Day of Internet Glitches",https://www.nytimes.com/2019/07/02/business/cloudflare-google-internet-problems.html,Cloudflare and Google dealt with issues that affected countless sites and users on Tuesday.,Business,By David Yaffe-Bellany,News,The New York Times
nyt://article/049ea2fb-eaec-5b32-8313-6dcea6541f74,2019-08-04 18:01:29+00:00,"‘Shut the Site Down,’ Says the Creator of 8chan, a Megaphone for Gunmen",https://www.nytimes.com/2019/08/04/technology/8chan-shooting-manifesto.html,"The site is a venue for extremists to test out ideas. Cloudflare, one of 8chan’s service providers, has already taken action.",Technology,By Kevin Roose,News,The New York Times
nyt://article/99fc864c-e158-5670-9736-2ea7641a4779,2019-08-05 14:24:13+00:00,Why Banning 8chan Was So Hard for Cloudflare: ‘No One Should Have That Power’,https://www.nytimes.com/2019/08/05/technology/8chan-cloudflare-el-paso.html,"8chan, the anonymous message board used by the El Paso suspect, went offline, at least temporarily. Cloudflare’s chief executive explained his decision to our columnist.",Technology,By Kevin Roose,News,The New York Times
nyt://article/6094fa8d-1e99-5f52-b122-115bfb5ac97c,2024-04-09 14:42:25+00:00,Internet Traffic Dipped as Viewers Took in the Eclipse,https://www.nytimes.com/2024/04/09/business/internet-traffic-eclipse-cloudflare.html,"Internet traffic dropped by 40 percent or more during the eclipse in states in the path of totality, including Maine, New Hampshire and Ohio, Cloudflare found.",Business,By Jenny Gross,News,The New York Times
nyt://article/e687c4db-d296-5f9a-96e9-a446917166cb,2025-07-01 10:00:13+00:00,Cloudflare Introduces Default Blocking of A.I. Data Scrapers,https://www.nytimes.com/2025/07/01/technology/cloudflare-ai-data.html,"The tech company’s customers can automatically block A.I. companies from exploiting their websites, it said, as it moves to protect original content online.",Technology,By Natallie Rocha,News,The New York Times
nyt://article/5433efe5-6c47-5f84-b080-88a9806a5bd7,2025-08-01 11:00:09+00:00,Age-Gating the Internet + Cloudflare Takes On A.I. Scrapers + HatGPT,https://www.nytimes.com/2025/08/01/podcasts/hardfork-age-restrictions-cloudflare.html,"“Frankly, if they’re going to behave like hackers, then we’re going to behave like trolls right back to them,” said Matthew Prince, chief executive of Cloudflare.",Podcasts,"By Kevin Roose, Casey Newton, Rachel Cohn, Whitney Jones, Jen Poyant, Chris Wood, Dan Powell, Elisheba Ittoop, Rowan Niemisto and Alyssa Moxley",News,The New York Times
nyt://article/627eb1f3-c42e-51b6-8f88-8fdf9795a687,2025-11-18 12:16:11+00:00,Cloudflare Says It Has Resolved Outage That Disrupted Parts of the Internet,https://www.nytimes.com/2025/11/18/business/cloudflare-down-challenges-error.html,"Services from Cloudflare, a software company, underpin thousands of websites, including X, Spotify and OpenAI. The company said a crash in a software system was to blame.",Business,By Victor Mather,News,The New York Times
